folio_i,folio_int,sexo,edad,peso,estatura,imc,muestra_suero,ac_urico,albu,col_hdl,col_ldl,colest,creat,glu_suero,insulina,trig,hb1ac,ponde_venosa,estrato,est_sel,ponde_hemo,riesgo_diabetes_cat,nombre_completo,nss,CURP,unidad_medica
2024_26002010,2024_26002010_02,Mujer,53,66.65,146.1,,1,5.8,3.9,46,169,226,0.5,99,13.4,213,,"2,337,851,543",2,262,,0,Maria Ramirez Ramirez,72878328517,MAM37002010HDFRRA01,Centro de Salud Urbano N01
2024_26002011,2024_26002011_02,Mujer,48,80.1,160.7,,1,4.1,4.1,56,116,188,0.6,66,57.3,171,,"156,727,781",2,262,"473,871,635",0,Lucia Ramirez Perez,28835137093,LUM75002011HDFRRA01,Clínica 14 - Santa Fe
2024_26002030,2024_26002030_01,Hombre,40,70.1,163.3,,1,6.2,4.6,56,108,175,0.8,86,2.8,156,,"3,098,936,865",2,262,,0,Ricardo Garcia Ramirez,45947631561,RIH34002030HDFRRA01,Centro de Salud Urbano N01
2024_01001010,2024_01001010_01,Mujer,89,,,,1,4.1,3.1,42,95,134,0.62,166,4.7,107,,"2,245,917,738",3,13,"2,888,530,238",2,Ana Perez Ramirez,88948165038,ANM73001010HDFRRA01,HGZ 1 - Centro
2024_01001012,2024_01001012_01,Mujer,71,,,32,1,4.3,3.8,54,140,211,0.64,98,9.6,132,,"2,245,917,738",3,13,"2,888,530,238",1,Isabel Martinez Martinez,34808692832,ISM13001012HDFRRA01,Hospital Regional Sur
2024_01001016,2024_01001016_02,Mujer,57,80.25,170.6,,1,4.9,4.2,75,50,153,0.6,128,4.7,263,6,"4,047,445,276",3,13,,2,Elena Garcia Cortes,44904049071,ELM70001016HDFRRA01,Centro de Salud Urbano N01
2024_01001016,2024_01001016_05,Mujer,20,68.6,166.2,,1,4.9,4.4,68,66,159,0.63,112,10.1,238,,"1,307,914,232",3,13,"1,377,680,526",2,Lucia Garcia Garcia,66754755009,LUM87001016HDFRRA01,HGZ 1 - Centro
2024_01001031,2024_01001031_01,Hombre,74,,,,1,6.4,4,64,142,230,1.09,97,10.2,135,,"5,292,158,204",3,13,"5,824,779,445",0,Ricardo Lopez Cortes,95746226731,RIH36001031HDFRRA01,HGZ 1 - Centro
2024_01001034,2024_01001034_01,Hombre,38,80.15,169,,1,7.3,4.5,36,124,192,0.95,103,15.9,203,,"2,299,884,473",3,13,,2,Roberto Rodriguez Hernandez,47844042276,ROH76001034HDFRRA01,Hospital Regional Sur
2024_01001038,2024_01001038_01,Mujer,63,,,,1,6.9,4.2,49,179,250,0.72,108,13,174,,"1,893,639,792",3,13,"2,384,363,375",2,Isabel Sanchez Perez,48869062201,ISM32001038HDFRRA01,Unidad Médica Familiar 22
2024_01001042,2024_01001042_01,Hombre,74,,,,1,4.8,4,25,116,178,0.91,97,9.7,467,,"400,426,496",3,13,,0,Juan Sanchez Perez,55956314084,JUH36001042HDFRRA01,HGZ 1 - Centro
2024_01001046,2024_01001046_01,Mujer,32,56.3,151.8,,1,3,3.9,51,111,159,0.74,92,9.9,67,,"884,571,035",3,13,"9,122,081,893",0,Gabriela Cortes Martinez,57807797933,GAM92001046HDFRRA01,Centro de Salud Urbano N01
2024_01001048,2024_01001048_01,Hombre,83,,,,1,3,3.1,34,70,110,1.49,265,46,112,,"3,827,358,443",3,13,"4,124,181,808",2,Roberto Rodriguez Perez,64827291527,ROH60001048HDFRRA01,Clínica 14 - Santa Fe
2024_01001055,2024_01001055_01,Hombre,53,75.15,174.8,,1,6.1,4.2,41,94,147,0.87,99,4.3,112,,"3,242,232,721",3,13,,0,Carlos Martinez Hernandez,30877927817,CAH65001055HDFRRA01,Unidad Médica Familiar 22
2024_01001060,2024_01001060_02,Mujer,55,57.45,147.8,,1,4,3.1,30,107,160,0.45,208,6.7,284,,"4,320,549,213",3,13,,2,Isabel Perez Hernandez,19818397971,ISM29001060HDFRRA01,Clínica 14 - Santa Fe
2024_01001060,2024_01001060_03,Mujer,27,68.5,154,,1,4.6,3,51,84,130,0.66,74,14,134,,"3,692,085,778",3,13,"2,439,902,656",0,Elena Hernandez Hernandez,65836854510,ELM96001060HDFRRA01,HGZ 1 - Centro
2024_01001068,2024_01001068_01,Mujer,23,65,149.5,,1,6,3.6,48,208,279,0.61,95,27.7,188,,"5,565,681,545",3,13,"3,678,062,213",0,Isabel Lopez Martinez,41744290210,ISM47001068HDFRRA01,Hospital Regional Sur
2024_01001069,2024_01001069_01,Mujer,85,,,,1,6.3,2.6,45,130,178,0.45,79,19.3,115,,"1,085,511,121",3,13,"1,240,783,045",0,Maria Sanchez Garcia,11894965822,MAM81001069HDFRRA01,Clínica 14 - Santa Fe
2024_01001074,2024_01001074_01,Hombre,59,75.6,170,,1,9.8,4.5,72,143,218,0.89,97,24.2,166,,"6,595,351,656",3,13,,0,Carlos Lopez Cortes,67717618023,CAH72001074HDFRRA01,Clínica 14 - Santa Fe
2024_01001074,2024_01001074_03,Mujer,34,70.75,157.7,,1,4.2,4.1,46,88,142,0.65,87,4.7,65,,"3,842,209,282",3,13,"2,816,247,946",0,Ana Martinez Lopez,72708832822,ANM32001074HDFRRA01,Clínica 14 - Santa Fe
2024_01001082,2024_01001082_02,Mujer,56,71.9,152,,1,4.2,3,33,85,121,0.49,92,7,152,,"456,560,127",3,13,,0,Sofia Lopez Ramirez,92769720087,SOM17001082HDFRRA01,Unidad Médica Familiar 22
2024_01001082,2024_01001082_03,Mujer,23,78.95,167.3,,1,5.7,3.4,33,87,116,0.52,75,9.7,140,,"4,425,402,766",3,13,"2,078,653,684",0,Beatriz Martinez Martinez,26954774485,BEM93001082HDFRRA01,Clínica 14 - Santa Fe
2024_01001083,2024_01001083_01,Mujer,63,,,,1,3.9,4.3,75,86,174,0.66,91,21.5,59,,"3,452,460,495",3,13,"2,804,909,865",0,Isabel Perez Sanchez,17704434912,ISM59001083HDFRRA01,Hospital Regional Sur
2024_01001087,2024_01001087_01,Hombre,56,78.75,169.3,,1,4.5,4.6,51,128,215,0.68,91,6.2,219,,"5,532,907,139",3,13,,0,Luis Garcia Cortes,82726876279,LUH63001087HDFRRA01,Unidad Médica Familiar 22
2024_01001089,2024_01001089_01,Mujer,52,60.5,152.4,,1,4.3,4.5,49,122,207,0.66,90,5.4,214,,"5,233,086,835",3,13,,0,Isabel Perez Garcia,11769858321,ISM31001089HDFRRA01,Unidad Médica Familiar 22
2024_01001095,2024_01001095_01,Mujer,59,75.75,147.1,,1,4.1,4.1,46,168,230,0.6,107,7.6,146,,"3,282,628,822",3,13,,2,Sofia Sanchez Gonzalez,14856339190,SOM22001095HDFRRA01,Hospital Regional Sur
2024_01001096,2024_01001096_01,Hombre,,57.1,162.2,,1,5.8,3.8,52,81,158,0.84,82,8.5,100,,"6,069,539,515",3,13,,0,Miguel Ramirez Garcia,28964871422,MIH81001096HDFRRA01,HGZ 1 - Centro
2024_01001096,2024_01001096_03,Mujer,25,72,156.9,,1,7.3,4.6,51,99,166,0.61,89,17.4,155,,"1,060,767,141",3,13,"7,775,170,644",0,Lucia Hernandez Rodriguez,88959714056,LUM89001096HDFRRA01,Hospital Regional Sur
2024_01001100,2024_01001100_01,Mujer,61,,,,1,6,4,47,128,186,0.7,122,18.7,149,,"1,944,059,523",3,13,"1,579,427,699",2,Gabriela Ramirez Perez,47768235333,GAM13001100HDFRRA01,Unidad Médica Familiar 22
2024_01001100,2024_01001100_02,Mujer,28,94.35,163,,1,3,3.4,37,66,101,0.59,62,26.6,104,,"4,983,834,806",3,13,"2,340,954,514",0,Maria Sanchez Cortes,35926586163,MAM73001100HDFRRA01,Centro de Salud Urbano N01
2024_01001115,2024_01001115_02,Mujer,52,88.05,156.1,,1,5.3,4.2,52,94,159,0.53,92,12.2,185,,"1,014,398,756",3,13,,0,Martha Rodriguez Sanchez,61977059451,MAM75001115HDFRRA01,Centro de Salud Urbano N01
2024_01001126,2024_01001126_01,Hombre,67,,,,1,7.1,3.7,37,114,175,1.1,111,17.9,201,6,"1,994,967,612",3,13,"1,273,476,294",2,Eduardo Lopez Lopez,76724847221,EDH77001126HDFRRA01,Centro de Salud Urbano N01
2024_01001130,2024_01001130_02,Mujer,69,,,,1,5.2,4.3,62,86,179,0.69,88,6.1,129,,"9,144,397,544",3,13,"562,107,686",0,Ana Martinez Rodriguez,46776572750,ANM95001130HDFRRA01,Hospital Regional Sur
2024_01001132,2024_01001132_03,Mujer,23,85,172.2,,1,4.9,3.2,29,79,101,0.54,88,29.6,124,,"1,172,139,181",3,13,"4,165,649,766",0,Ximena Hernandez Ramirez,10876146291,XIM37001132HDFRRA01,HGZ 1 - Centro
2024_01001144,2024_01001144_01,Mujer,71,,,,1,5.1,4.1,45,155,231,0.79,186,5.6,190,,"3,018,306,845",3,13,"4,048,054,683",2,Elena Sanchez Martinez,25966087759,ELM59001144HDFRRA01,Centro de Salud Urbano N01
2024_01001144,2024_01001144_02,Mujer,43,59.7,154,,1,2.5,5.8,28,108,287,1.65,327,0.5,1325,11,"154,755,989",3,13,"1,199,967,797",2,Beatriz Cortes Cortes,65868236810,BEM29001144HDFRRA01,Unidad Médica Familiar 22
2024_01001148,2024_01001148_01,Hombre,69,,,,1,7.1,4,59,156,231,1.18,138,10.9,108,,"7,327,109,464",3,13,"9,263,876,436",2,Luis Sanchez Gonzalez,83804764159,LUH43001148HDFRRA01,Clínica 14 - Santa Fe
2024_01001152,2024_01001152_02,Mujer,74,,,,1,8.2,3.5,42,93,162,1.04,174,45,231,,"6,166,981,873",3,13,"8,270,954,921",2,Sofia Hernandez Gonzalez,21778027748,SOM30001152HDFRRA01,HGZ 1 - Centro
2024_01001175,2024_01001175_01,Mujer,23,95.6,164.3,,1,5.2,4.1,64,96,174,0.72,71,17.4,144,,"4,304,425,004",3,13,"366,210,124",0,Beatriz Cortes Ramirez,39775253647,BEM69001175HDFRRA01,Centro de Salud Urbano N01
2024_01001186,2024_01001186_01,Mujer,32,74.5,167.3,,1,3.6,4.3,62,63,135,0.63,66,5.1,99,,"5,077,014,107",3,13,"4,319,401,463",0,Martha Cortes Garcia,63827999093,MAM47001186HDFRRA01,Centro de Salud Urbano N01
2024_01001192,2024_01001192_01,Hombre,36,79.35,159.3,,1,5.5,4.4,44,133,201,1.01,93,16.8,165,,"2,005,584,406",3,13,,0,Luis Ramirez Ramirez,30726411217,LUH58001192HDFRRA01,Unidad Médica Familiar 22
2024_01001213,2024_01001213_02,Mujer,72,,,,1,4.3,4.4,75,72,164,0.66,111,5.5,124,,"1,396,839,749",3,13,"6,449,010,538",2,Gabriela Rodriguez Cortes,51758630481,GAM78001213HDFRRA01,Centro de Salud Urbano N01
2024_01001216,2024_01001216_01,Mujer,50,83.75,158.9,,1,4.6,4.3,54,166,245,0.6,107,16.1,211,,"6,984,198,744",3,13,,2,Sofia Cortes Perez,54738578329,SOM55001216HDFRRA01,Clínica 14 - Santa Fe
2024_01001216,2024_01001216_04,Hombre,24,61.05,180.7,,1,4.6,4.3,46,93,139,0.82,88,4.5,55,,"1,078,693,753",3,13,,0,Juan Gonzalez Ramirez,95866385605,JUH88001216HDFRRA01,Centro de Salud Urbano N01
2024_01001228,2024_01001228_02,Mujer,64,,,,1,3.2,3.9,55,182,275,0.5,205,5.6,157,,"5,456,765,721",3,13,"4,870,487,044",2,Martha Perez Sanchez,24726199852,MAM61001228HDFRRA01,Hospital Regional Sur
2024_01001228,2024_01001228_03,Hombre,36,88.9,180.6,,1,6,4.2,44,129,253,0.83,102,19.2,428,,"1,393,144,478",3,13,,2,Luis Cortes Rodriguez,10787967957,LUH92001228HDFRRA01,Centro de Salud Urbano N01
2024_01001241,2024_01001241_02,Mujer,31,55.1,161.2,,1,4.4,4.4,49,109,152,0.74,103,11.2,83,,"1,210,470,736",3,13,"9,747,450,939",2,Ximena Ramirez Martinez,56919727255,XIM52001241HDFRRA01,Clínica 14 - Santa Fe
2024_01001243,2024_01001243_02,Mujer,32,64.8,154.4,,1,4.2,4.3,50,71,131,0.66,78,4.2,81,,"1,204,507,826",3,13,"9,699,433,939",0,Ana Cortes Hernandez,55896158163,ANM43001243HDFRRA01,Hospital Regional Sur
2024_01001247,2024_01001247_03,Hombre,24,66.55,168.1,,1,5.9,5,46,94,168,0.97,91,11.2,223,5,"1,427,458,382",3,13,,0,Juan Perez Ramirez,32764579791,JUH39001247HDFRRA01,HGZ 1 - Centro
2024_01001268,2024_01001268_01,Mujer,51,68.35,160,,1,6,4.5,47,110,212,0.75,111,5.3,329,,"743,683,991",3,13,,2,Maria Hernandez Sanchez,86955138264,MAM36001268HDFRRA01,Hospital Regional Sur
2024_01001269,2024_01001269_02,Mujer,63,,,,1,7.2,3.8,64,115,187,0.93,98,38.2,115,,"1,487,367,982",3,13,"1,052,934,866",0,Gabriela Lopez Gonzalez,94748861264,GAM82001269HDFRRA01,Hospital Regional Sur
2024_01001276,2024_01001276_01,Mujer,47,72.45,154.8,,1,4.3,4.1,44,106,171,0.71,89,7.9,223,,"4,816,324,706",3,13,"323,915,431",0,Ana Martinez Garcia,92847792492,ANM47001276HDFRRA01,Centro de Salud Urbano N01
2024_01001280,2024_01001280_01,Hombre,68,,,,1,4.6,3.9,50,92,153,1.01,177,5.4,88,,"1,973,164,423",3,13,"119,539,091",2,Miguel Martinez Hernandez,63978634982,MIH63001280HDFRRA01,HGZ 1 - Centro
2024_01001289,2024_01001289_01,Mujer,50,73,160,,1,6.4,3.9,43,94,161,0.7,74,22.8,248,,"3,943,825,114",3,13,,0,Gabriela Ramirez Gonzalez,69897762343,GAM18001289HDFRRA01,HGZ 1 - Centro
2024_01001289,2024_01001289_02,Mujer,21,60.8,161.4,,1,4.7,4.4,49,101,159,0.81,87,10.2,111,,"1,011,047,894",3,13,"3,334,551,707",0,Lucia Ramirez Rodriguez,69825093561,LUM58001289HDFRRA01,HGZ 1 - Centro
2024_01001290,2024_01001290_01,Hombre,48,99.1,162.3,,1,6,5.1,38,167,211,0.64,187,32.2,171,,"5,514,197,927",3,13,,2,Juan Ramirez Martinez,58859417000,JUH75001290HDFRRA01,Clínica 14 - Santa Fe
2024_01001300,2024_01001300_02,Mujer,61,,,,1,4.1,4,44,133,198,0.65,89,8.1,130,,"9,836,605,361",3,13,"6,181,378,383",0,Lucia Martinez Lopez,35825197343,LUM35001300HDFRRA01,HGZ 1 - Centro
2024_01001300,2024_01001300_03,Mujer,31,78.55,164.4,,1,3.8,3.4,43,101,156,0.61,84,17.3,116,,"8,012,222,678",3,13,"4,123,626,034",0,Gabriela Cortes Hernandez,79706195614,GAM83001300HDFRRA01,Hospital Regional Sur
2024_01001301,2024_01001301_03,Mujer,27,53.8,162.2,,1,4,4.3,54,87,156,0.79,80,7.9,83,,"1,602,444,536",3,13,"8,247,252,069",0,Isabel Rodriguez Ramirez,35775546677,ISM19001301HDFRRA01,Hospital Regional Sur
2024_01001315,2024_01001315_01,Hombre,62,,,,1,4.8,3.5,48,93,158,0.96,136,35.4,112,5,"1,488,579,822",3,13,"8,818,389,975",2,Antonio Rodriguez Sanchez,15955820652,ANH35001315HDFRRA01,Centro de Salud Urbano N01
2024_01001316,2024_01001316_01,Mujer,76,,,,1,4.3,3.9,64,127,210,0.68,160,16.4,167,7,"2,142,827,148",3,13,"1,692,555,333",2,Ximena Hernandez Perez,71985485306,XIM84001316HDFRRA01,Unidad Médica Familiar 22
2024_01001325,2024_01001325_03,Mujer,29,62.65,153.3,,1,4.1,4.3,56,100,162,0.74,82,3.1,75,,"5,722,912,608",3,13,"2,613,436,751",0,Ana Garcia Ramirez,75755436664,ANM63001325HDFRRA01,HGZ 1 - Centro
2024_01001328,2024_01001328_01,Hombre,65,,,,1,5.5,4.4,34,129,187,0.78,95,19.4,172,,"5,536,348,099",3,13,"4,122,457,778",0,Antonio Ramirez Cortes,13837622385,ANH11001328HDFRRA01,Hospital Regional Sur
2024_01001343,2024_01001343_01,Mujer,51,122.1,162.9,,1,5,3.5,41,157,229,0.52,322,9.3,290,,"2,018,446,504",3,13,,2,Ana Gonzalez Hernandez,91785291197,ANM64001343HDFRRA01,Unidad Médica Familiar 22
2024_01001343,2024_01001343_02,Mujer,31,116.95,167.5,,1,6.3,3.9,36,122,183,0.5,116,46.3,360,,"1,304,504,312",3,13,"9,296,103,148",2,Sofia Gonzalez Ramirez,92715831485,SOM46001343HDFRRA01,HGZ 1 - Centro
2024_01001345,2024_01001345_01,Hombre,64,,,,1,6.2,4,31,106,155,0.76,207,9.1,182,9,"3,732,082,267",3,13,"3,061,241,091",2,Juan Rodriguez Sanchez,77969495827,JUH74001345HDFRRA01,Clínica 14 - Santa Fe
2024_01001345,2024_01001345_02,Mujer,29,68.4,157,,1,5.3,4,66,110,177,0.65,86,5.2,71,,"4,348,347,708",3,13,"3,098,701,049",0,Isabel Gonzalez Garcia,74765251857,ISM35001345HDFRRA01,Hospital Regional Sur
2024_01001349,2024_01001349_01,Mujer,54,63.85,144.1,,1,3.7,3.5,43,46,105,0.49,131,6.5,173,7,"1,307,713,536",1,11,,2,Ximena Martinez Perez,72705113375,XIM19001349HDFRRA01,Hospital Regional Sur
2024_01001361,2024_01001361_02,Mujer,48,89.85,153.9,,1,4.8,4,40,99,153,0.61,102,19.9,129,,"4,903,153,619",1,11,"5,191,157,837",2,Maria Sanchez Cortes,90926141313,MAM38001361HDFRRA01,Hospital Regional Sur
2024_01001365,2024_01001365_02,Mujer,71,,,,1,6.3,3.5,40,130,168,0.71,84,18.8,120,,"3,707,714,093",1,11,"4,021,136,811",0,Sofia Rodriguez Garcia,64989719145,SOM74001365HDFRRA01,Unidad Médica Familiar 22
2024_01001367,2024_01001367_03,Mujer,44,69,169,,1,3.3,3.2,39,91,133,0.51,284,60.7,95,,"1,321,827,328",1,11,"8,951,488,761",2,Isabel Rodriguez Ramirez,64769539428,ISM77001367HDFRRA01,Hospital Regional Sur
2024_01001368,2024_01001368_01,Hombre,69,,,,1,4.7,3.6,31,93,166,0.89,169,16.2,239,,"3,697,415,328",1,11,"3,780,227,533",2,Raffael Sanchez Rodriguez,35868161041,RAH51001368HDFRRA01,Hospital Regional Sur
2024_01001368,2024_01001368_03,Mujer,37,87.95,168.3,,1,3.6,2.8,37,56,111,0.6,77,7.3,114,,"4,406,091,092",1,11,"2,983,829,587",0,Gabriela Rodriguez Cortes,82885082716,GAM95001368HDFRRA01,Clínica 14 - Santa Fe
2024_01001370,2024_01001370_01,Hombre,66,,,,1,5,3.2,35,86,124,0.71,106,4.1,86,,"488,953,433",1,11,"5,506,817,722",2,Javier Garcia Cortes,36799870593,JAH31001370HDFRRA01,Clínica 14 - Santa Fe
